[[ 3.39947595  0.21458369]
 [ 2.53632046  0.01637205]
 [ 3.18616297 -0.17825201]
 [ 3.07911839  0.08922318]
 [ 3.0003362   0.02316127]
 [ 3.1284216   0.45533227]
 [ 2.70834017  0.42177926]
 [ 3.06567621  0.26570981]
 [ 2.65521501  0.19157583]
 [ 3.44054652 -0.15404643]
 [ 2.40073796 -0.33426313]
 [ 3.07262984  0.9230848 ]
 [ 3.3285499   0.72821909]
 [ 3.01970244  0.66466018]
 [ 2.90697992  0.44804164]
 [ 2.90643736  0.11809634]
 [ 3.02460482  0.15884388]
 [ 3.37537576  0.37897595]
 [ 3.10082012  0.23795504]
 [ 3.35550393  0.13841323]
 [ 3.17431879  0.27148766]
 [ 2.69198842  0.24867827]
 [ 2.72989231  0.35038468]
 [ 2.86686104  0.52654307]
 [ 3.13536471  0.40734697]
 [ 2.95514554  0.55696437]
 [ 2.79793422  0.70132854]
 [ 3.20942884  0.56857982]
 [ 3.6719188   0.80134819]
 [ 2.91645517  0.43604045]
 [ 2.87699452  0.4127384 ]
 [ 3.28168022  0.37245422]
 [ 2.91498686  0.44152551]
 [ 3.2493407   0.19324083]
 [ 2.82278206  0.60070471]
 [ 3.02326852  0.7939908 ]
 [ 2.85853837  0.9708592 ]
 [ 3.01339934  1.43282359]
 [ 2.46205894  0.89707182]
 [ 2.59648228  0.48982416]
 [ 3.50089873  1.27097733]
 [ 2.34375385  0.69897762]
 [ 2.87597632  0.14454239]
 [ 2.87608793  0.9202736 ]
 [ 2.95080845  0.22213652]
 [ 3.21271882  0.91196874]
 [ 2.85649602  0.63055532]
 [ 3.08320665  1.15028765]
 [ 2.71942658  0.91973221]
 [ 3.10647616  0.32451592]
 [ 2.88782803  0.35661002]
 [ 2.56980824  1.08771324]
 [ 2.79735385  0.84464949]
 [ 2.74573899  1.23701852]
 [ 3.04034119  0.76420127]
 [ 2.90982008  0.87692612]
 [ 3.5367695   0.81410727]
 [ 2.71504555  0.94895465]
 [ 2.67049734  1.11361365]
 [ 2.87731996  0.60333189]
 [ 2.61656031  0.7103464 ]
 [ 3.15233454  1.86361188]
 [ 3.18931099  1.24537343]
 [ 3.07385457  1.20899047]
 [ 3.25676346  1.37671223]
 [ 2.68330382  0.85483133]
 [ 2.55272929  1.30514986]
 [ 2.36928874  1.16171878]
 [ 3.13123041  1.25425697]
 [ 3.31697304  1.6967717 ]
 [ 2.62706542  0.87193677]
 [ 2.69083123  1.15255094]
 [ 2.81035172  1.79811533]
 [ 2.35176984  1.21412828]
 [ 2.77997472  1.68813959]
 [ 2.8249465   1.48878449]
 [ 3.06645356  1.52934327]
 [ 2.58323847  1.41521295]
 [ 2.43336408  1.57871017]
 [ 2.91927656  0.53745893]
 [ 2.99290752  1.43095225]
 [ 2.75656168  1.66313378]
 [ 1.92049264  1.12209786]
 [ 2.49971838  1.25985579]
 [ 2.6724226   1.35913707]
 [ 2.06726879  1.71357628]
 [ 2.90094605  1.71540923]
 [ 2.3472826   1.48400074]
 [ 2.71576453  1.75931149]
 [ 2.843307    1.5060546 ]
 [ 2.10489634  1.4066658 ]
 [ 2.68113743  1.84944575]
 [ 3.17819846  1.677247  ]
 [ 2.57367999  1.60467698]
 [ 2.36808973  1.90810753]
 [ 2.58526614  1.62703314]
 [ 2.14462965  1.66787109]
 [ 2.34046237  2.09685164]
 [ 2.73101559  1.4290456 ]
 [ 2.78605203  1.57951626]
 [ 2.46476997  2.12723355]
 [ 2.10623392  1.82976121]
 [ 2.06325265  1.21441201]
 [ 2.68701478  1.82035936]
 [ 2.13287058  1.35094304]
 [ 2.24759012  2.24450736]
 [ 2.47712994  1.74489715]
 [ 2.14304603  1.90326761]
 [ 1.86863236  2.28969016]
 [ 2.47185918  2.25920285]
 [ 2.13983718  2.17192041]
 [ 2.50315524  1.47004936]
 [ 2.32927593  2.03892502]
 [ 2.09982577  1.85068495]
 [ 2.39077994  1.96162791]
 [ 1.94604315  2.16462799]
 [ 2.30324789  2.07605568]
 [ 2.25098769  2.15003929]
 [ 2.12372607  1.7704561 ]
 [ 1.9741596   2.3748265 ]
 [ 1.57848477  2.21910557]
 [ 1.73811745  1.58799611]
 [ 1.85575725  2.00701692]
 [ 2.36371523  1.58829974]
 [ 2.63353584  2.46039732]
 [ 2.0782068   2.03758281]
 [ 1.8185009   2.31436086]
 [ 2.1116994   2.57477536]
 [ 1.87160972  2.32866137]
 [ 2.05289275  1.92320965]
 [ 2.62075003  2.27414618]
 [ 2.22230521  1.88255747]
 [ 1.80553198  2.24114554]
 [ 1.83299083  2.40919842]
 [ 2.12576652  2.00648851]
 [ 2.03798828  2.25490984]
 [ 1.91665694  1.92148026]
 [ 1.7009211   2.3415909 ]
 [ 2.24138581  1.99963777]
 [ 2.28788487  2.35764197]
 [ 1.5272483   2.4119241 ]
 [ 2.15931478  2.40619314]
 [ 2.5746336   2.43135041]
 [ 2.13190322  2.35383959]
 [ 2.14332098  1.64355069]
 [ 1.57713341  2.26453475]
 [ 1.97058695  2.44181933]
 [ 2.1299236   2.50380893]
 [ 1.85142943  2.36452009]
 [ 1.82320599  2.66811   ]
 [ 1.98535855  2.69422287]
 [ 1.67144581  2.23288474]
 [ 1.5866077   2.55717246]
 [ 2.19599145  2.53496193]
 [ 1.8425137   1.97631171]
 [ 2.4853774   2.15347139]
 [ 2.21106384  2.32825027]
 [ 1.93730115  2.75006822]
 [ 1.65347692  2.46591863]
 [ 1.33609672  2.5100004 ]
 [ 1.93271491  2.64785391]
 [ 1.32133665  2.89367047]
 [ 1.20921691  2.61914368]
 [ 1.28683265  2.33122123]
 [ 1.8619221   2.43690919]
 [ 1.0672334   2.42377771]
 [ 1.73243555  2.37610284]
 [ 1.85351701  2.90683398]
 [ 1.49464131  2.96579206]
 [ 2.01505774  2.02780105]
 [ 1.78663702  2.81479237]
 [ 1.32607102  2.84026274]
 [ 1.52539383  2.47709069]
 [ 1.83613044  2.70080146]
 [ 1.72939377  2.59370006]
 [ 0.86540215  2.74945364]
 [ 1.26867912  2.30625035]
